Mission,Date, Duration (hours) ,Duration (minutes),Spacewalker
Expedition 15,"Wednesday, 30 May 07", 5 ,25,Oleg Kotov
Expedition 15,"Wednesday, 6 June 07", 5 ,37,Fyodor Yurchikhin
Expedition 15,"Wednesday, 6 June 07", 5 ,37,Oleg Kotov
Expedition 15,"Monday, 23 July 07", 5 ,37,Clayton Anderson
Expedition 15,"Monday, 23 July 07", 5 ,37,Fyodor Yurchikhin
STS-118,"Saturday, 11 August 07", 6 ,17,Richard Mastracchio
STS-118,"Saturday, 11 August 07", 6 ,17,David Williams
STS-118,"Monday, 13 August 07", 6 ,28,Richard Mastracchio
STS-118,"Monday, 13 August 07", 6 ,28,David Williams
STS-118,"Wednesday, 15 August 07", 5 ,28,Richard Mastracchio
STS-118,"Wednesday, 15 August 07", 5 ,28,Clayton Anderson
STS-118,"Saturday, 18 August 07", 5 ,2,David Williams
STS-118,"Saturday, 18 August 07", 5 ,2,Clayton Anderson
STS-120,"Friday, 26 October 07", 6 ,14,Scott Parazynski
STS-120,"Friday, 26 October 07", 6 ,14,Doug Wheelock
STS-120,"Sunday, 28 October 07", 5 ,33,Scott Parazynski
STS-120,"Sunday, 28 October 07", 5 ,33,Salizhan Sharipov
STS-120,"Tuesday, 30 October 07", 7 ,8,Scott Parazynski
STS-120,"Tuesday, 30 October 07", 7 ,8,Dan Tani
STS-120,"Saturday, 3 November 07", 7 ,19,Scott Parazynski
STS-120,"Saturday, 3 November 07", 7 ,19,Doug Wheelock
Expedition 16,"Friday, 9 November 07", 6 ,55,Peggy Whitson
Expedition 16,"Friday, 9 November 07", 6 ,55,Yuri Malenchenko
Expedition 16,"Tuesday, 20 November 07", 7 ,16,Peggy Whitson
Expedition 16,"Tuesday, 20 November 07", 7 ,16,Dan Tani
Expedition 16,"Saturday, 24 November 07", 7 ,4,Peggy Whitson
Expedition 16,"Saturday, 24 November 07", 7 ,4,Dan Tani
Expedition 16,"Tuesday, 18 December 07", 6 ,56,Peggy Whitson
Expedition 16,"Tuesday, 18 December 07", 6 ,56,Dan Tani
Expedition 16,"Wednesday, 30 January 08", 7 ,10,Peggy Whitson
Expedition 16,"Wednesday, 30 January 08", 7 ,10,Dan Tani
STS-122,"Monday, 11 February 08", 7 ,58,Rex Walheim
STS-122,"Monday, 11 February 08", 7 ,58,Stanley Love
STS-122,"Wednesday, 13 February 08", 6 ,45,Rex Walheim
STS-122,"Wednesday, 13 February 08", 6 ,45,Hans Schlegel
STS-122,"Friday, 15 February 08", 7 ,25,Rex Walheim
STS-122,"Friday, 15 February 08", 7 ,25,Stanley Love
 STS-123,"Friday, 14 March 08", 7 ,1, Richard Linnehan
 STS-123,"Friday, 14 March 08", 7 ,1, Garret Reisman
 STS-123,"Sunday, 16 March 08", 7 ,8, Richard Linnehan
 STS-123,"Sunday, 16 March 08", 7 ,8,Michael Foreman
 STS-123,"Tuesday, 18 March 08", 6 ,53, Richard Linnehan
 STS-123,"Tuesday, 18 March 08", 6 ,53,Robert Behnken
 STS-123,"Friday, 21 March 08", 6 ,24,Michael Foreman
 STS-123,"Friday, 21 March 08", 6 ,24,Robert Behnken
 STS-123,"Sunday, 23 March 08", 6 ,2,Michael Foreman
 STS-123,"Sunday, 23 March 08", 6 ,2,Robert Behnken
STS-124,"Tuesday, 3 June 08", 6 ,48,Mike Fossum
STS-124,"Tuesday, 3 June 08", 6 ,48,Ron Garan
STS-124,"Thursday, 5 June 08", 7 ,11,Mike Fossum
STS-124,"Thursday, 5 June 08", 7 ,11,Ron Garan
STS-124,"Sunday, 8 June 08", 6 ,33,Mike Fossum
STS-124,"Sunday, 8 June 08", 6 ,33,Ron Garan
Expedition 17,"Thursday, 10 July 08", 6 ,18,Sergei Volkov
Expedition 17,"Thursday, 10 July 08", 6 ,18,Oleg Kononenko
Expedition 17,"Tuesday, 15 July 08", 5 ,54,Sergei Volkov
Expedition 17,"Tuesday, 15 July 08", 5 ,54,Oleg Kononenko
STS-126,"Tuesday, 18 November 08", 6 ,52,Heidemarie Stefanyshyn-Piper
STS-126,"Tuesday, 18 November 08", 6 ,52,Stephen Bowen
STS-126,"Thursday, 20 November 08", 6 ,45,Heidemarie Stefanyshyn-Piper
STS-126,"Thursday, 20 November 08", 6 ,45,Robert Kimbrough
STS-126,"Saturday, 22 November 08", 6 ,57,Heidemarie Stefanyshyn-Piper
STS-126,"Saturday, 22 November 08", 6 ,57,Stephen Bowen
STS-126,"Monday, 24 November 08", 6 ,7,Stephen Bowen
STS-126,"Monday, 24 November 08", 6 ,7,Robert Kimbrough
Expedition 18,"Tuesday, 23 December 08", 5 ,38,Yury Lonchakov
Expedition 18,"Tuesday, 23 December 08", 5 ,38,Mike Fincke
Expedition 18,"Thursday, 10 December 09", 4 ,49,Yury Lonchakov
Expedition 18,"Thursday, 10 December 09", 4 ,49,Mike Fincke
STS-119,"Thursday, 19 March 09", 6 ,7,Steve Swanson
STS-119,"Thursday, 19 March 09", 6 ,7,Richard Arnold
STS-119,"Saturday, 21 March 09", 6 ,30,Steve Swanson
STS-119,"Saturday, 21 March 09", 6 ,30,Joseph Acaba
STS-119,"Monday, 23 March 09", 6 ,27,Joseph Acaba
STS-119,"Monday, 23 March 09", 6 ,27,Richard Arnold
Expedition 20,"Friday, 5 June 09", 4 ,54,Gennady Padalka
Expedition 20,"Friday, 5 June 09", 4 ,54,Michael Barratt
Expedition 20,"Wednesday, 10 June 09", -   ,12,Gennady Padalka
Expedition 20,"Wednesday, 10 June 09", -   ,12,Michael Barratt
STS-127,"Saturday, 18 July 09", 5 ,32,David Wolf
STS-127,"Saturday, 18 July 09", 5 ,32,Tim Kopra
STS-127,"Monday, 20 July 09", 6 ,53,David Wolf
STS-127,"Monday, 20 July 09", 6 ,53,Thomas Marshburn
STS-127,"Wednesday, 22 July 09", 5 ,59,David Wolf
STS-127,"Wednesday, 22 July 09", 5 ,59,Chris Cassidy
STS-127,"Friday, 24 July 09", 7 ,12,Chris Cassidy
STS-127,"Friday, 24 July 09", 7 ,12,Thomas Marshburn
STS-127,"Monday, 27 July 09", 4 ,54,Chris Cassidy
STS-127,"Monday, 27 July 09", 4 ,54,Thomas Marshburn
STS-128,"Tuesday, 1 September 09", 6 ,35,John Olivas
STS-128,"Tuesday, 1 September 09", 6 ,35,Nicole Stott
STS-128,"Thursday, 3 September 09", 6 ,39,John Olivas
STS-128,"Thursday, 3 September 09", 6 ,39,Christer Fuglesang
STS-128,"Saturday, 5 September 09", 7 ,1,John Olivas
STS-128,"Saturday, 5 September 09", 7 ,1,Christer Fuglesang
STS-129,"Thursday, 19 November 09", 6 ,37,Michael Foreman
STS-129,"Thursday, 19 November 09", 6 ,37,Robert Satcher
STS-129,"Saturday, 21 November 09", 6 ,8,Michael Foreman
STS-129,"Saturday, 21 November 09", 6 ,8,Randolph Bresnik
STS-129,"Monday, 23 November 09", 5 ,42,Robert Satcher
STS-129,"Monday, 23 November 09", 5 ,42,Randolph Bresnik
Expedition 22,"Thursday, 14 January 10", 5 ,44,Oleg Kotov
Expedition 22,"Thursday, 14 January 10", 5 ,44,Max Suraev
STS-130,"Friday, 12 February 10", 6 ,32,Robert Behnken
STS-130,"Friday, 12 February 10", 6 ,32,Nicholas Patrick
STS-130,"Sunday, 14 February 10", 5 ,54,Robert Behnken
STS-130,"Sunday, 14 February 10", 5 ,54,Nicholas Patrick
STS-130,"Wednesday, 17 February 10", 5 ,48,Robert Behnken
STS-130,"Wednesday, 17 February 10", 5 ,48,Nicholas Patrick
STS-131,"Friday, 9 April 10", 6 ,27,Richard Mastracchio
STS-131,"Friday, 9 April 10", 6 ,27,Clayton Anderson
STS-131,"Sunday, 11 April 10", 7 ,26,Richard Mastracchio
STS-131,"Sunday, 11 April 10", 7 ,26,Clayton Anderson
STS-131,"Tuesday, 13 April 10", 6 ,24,Richard Mastracchio
STS-131,"Tuesday, 13 April 10", 6 ,24,Clayton Anderson
STS-132,"Monday, 17 May 10", 7 ,25,Garret Reisman
STS-132,"Monday, 17 May 10", 7 ,25,Stephen Bowen
STS-132,"Wednesday, 19 May 10", 7 ,9,Stephen Bowen
STS-132,"Wednesday, 19 May 10", 7 ,9,Michael Good
STS-132,"Friday, 21 May 10", 5 ,21,Michael Good
STS-132,"Friday, 21 May 10", 5 ,21,Stephen Bowen
Expedition 24,"Tuesday, 27 July 10", 6 ,42,n/a
Expedition 24,"Tuesday, 27 July 10", 6 ,42,n/a
Expedition 24,"Saturday, 7 August 10", 8 ,3,Doug Wheelock
Expedition 24,"Saturday, 7 August 10", 8 ,3,Tracy Caldwell-Dyson
Expedition 24,"Wednesday, 11 August 10", 7 ,26,Doug Wheelock
Expedition 24,"Wednesday, 11 August 10", 7 ,26,Tracy Caldwell-Dyson
Expedition 24,"Monday, 16 August 10", 7 ,20,Doug Wheelock
Expedition 24,"Monday, 16 August 10", 7 ,20,Tracy Caldwell-Dyson
Expedition 25,"Monday, 15 November 10", 6 ,27,Fyodor Yurchikhin
Expedition 25,"Monday, 15 November 10", 6 ,27,Oleg Skripochka
Expedition 26,"Friday, 21 January 11", 5 ,23,Dmitry Kondratyev
Expedition 26,"Friday, 21 January 11", 5 ,23,Oleg Skripochka
Expedition 26,"Wednesday, 16 February 11", 4 ,51,Dmitry Kondratyev
Expedition 26,"Wednesday, 16 February 11", 4 ,51,Oleg Skripochka
STS-133,"Monday, 28 February 11", 6 ,34,Stephen Bowen
STS-133,"Monday, 28 February 11", 6 ,34,Alvin Drew
STS-133,"Wednesday, 2 March 11", 6 ,14,Stephen Bowen
STS-133,"Wednesday, 2 March 11", 6 ,14,Alvin Drew
STS-134,"Friday, 20 May 11", 6 ,19,Andrew Feustel
STS-134,"Friday, 20 May 11", 6 ,19,Greg Chamitoff
STS-134,"Sunday, 22 May 11", 8 ,7,Andrew Feustel
STS-134,"Sunday, 22 May 11", 8 ,7,Mike Fincke
STS-134,"Wednesday, 25 May 11", 6 ,54,Andrew Feustel
STS-134,"Wednesday, 25 May 11", 6 ,54,Mike Fincke
STS-134,"Friday, 27 May 11", 7 ,24,Andrew Feustel
STS-134,"Friday, 27 May 11", 7 ,24,Greg Chamitoff
Expedition 28,"Tuesday, 12 July 11", 6 ,31,Ron Garan
Expedition 28,"Tuesday, 12 July 11", 6 ,31,Mike Fossum
Expedition 28,"Wednesday, 3 August 11", 6 ,23,Sergei Volkov
Expedition 28,"Wednesday, 3 August 11", 6 ,23,Alexander Samokutyaev
Expedition 30,"Thursday, 16 February 12", 6 ,15,Oleg Kononenko
Expedition 30,"Thursday, 16 February 12", 6 ,15,Anton Shkaplerov
Expedition 32,"Monday, 20 August 12", 5 ,51,Gennady Padalka
Expedition 32,"Monday, 20 August 12", 5 ,51,Yuri Malenchenko
Expedition 32,"Thursday, 30 August 12", 8 ,17,Sunita Williams
Expedition 32,"Thursday, 30 August 12", 8 ,17,Aki Hoshide
Expedition 32,"Wednesday, 5 September 12", 6 ,28,Sunita Williams
Expedition 32,"Wednesday, 5 September 12", 6 ,28,Aki Hoshide
Expedition 33,"Thursday, 1 November 12", 6 ,38,Sunita Williams
Expedition 33,"Thursday, 1 November 12", 6 ,38,Aki Hoshide
Expedition 35,"Friday, 19 April 13", 6 ,38,Pavel Vinogradov
Expedition 35,"Friday, 19 April 13", 6 ,38,Roman Romanenko
Expedition 35,"Saturday, 11 May 13", 5 ,30,Chris Cassidy
Expedition 35,"Saturday, 11 May 13", 5 ,30,Thomas Marshburn
Expedition 36,"Monday, 24 June 13", 6 ,34,Fyodor Yurchikhin
Expedition 36,"Monday, 24 June 13", 6 ,34,Alexander Misurkin
Expedition 36,"Tuesday, 9 July 13", 6 ,7,Chris Cassidy
Expedition 36,"Tuesday, 9 July 13", 6 ,7,Luca Parmitano
Expedition 36,"Tuesday, 16 July 13", 1 ,32,Chris Cassidy
Expedition 36,"Tuesday, 16 July 13", 1 ,32,Luca Parmitano
Expedition 36,"Friday, 16 August 13", 7 ,29,Fyodor Yurchikhin
Expedition 36,"Friday, 16 August 13", 7 ,29,Alexander Misurkin
Expedition 36,"Thursday, 22 August 13", 5 ,58,Fyodor Yurchikhin
Expedition 36,"Thursday, 22 August 13", 5 ,58,Alexander Misurkin
Expedition 37,"Saturday, 9 November 13", 5 ,50,Oleg Kotov
Expedition 37,"Saturday, 9 November 13", 5 ,50,Sergei Ryazanskiy
Expedition 38,"Saturday, 21 December 13", 5 ,28,Richard Mastracchio
Expedition 38,"Saturday, 21 December 13", 5 ,28,Mike Hopkins
Expedition 38,"Tuesday, 24 December 13", 7 ,30,Richard Mastracchio
Expedition 38,"Tuesday, 24 December 13", 7 ,30,Mike Hopkins
Expedition 38,"Friday, 27 December 13", 8 ,7,Oleg Kotov
Expedition 38,"Friday, 27 December 13", 8 ,7,Sergei Ryazanskiy
Expedition 38,"Monday, 27 January 14", 6 ,8,Oleg Kotov
Expedition 38,"Monday, 27 January 14", 6 ,8,Sergei Ryazanskiy
Expedition 39,"Wednesday, 23 April 14", 1 ,36,Richard Mastracchio
Expedition 39,"Wednesday, 23 April 14", 1 ,36,Steve Swanson
 Expedition 40,"Thursday, 19 June 14", 7 ,23,Alexander Skvortsov
 Expedition 40,"Thursday, 19 June 14", 7 ,23,Oleg Artemyev
 Expedition 40,"Monday, 18 August 14", 5 ,11,Alexander Skvortsov
 Expedition 40,"Monday, 18 August 14", 5 ,11,Oleg Artemyev
